"MASCARA","ANO","CODMUNIC","UF","SIGLA","MUNIC","DEP","LOC","CODFUNC","NOME_CUR","GRD_COD","AREA_COD","SUBAREAC","VEP111","VEP112","VEP113","VPE114","VEP115","VEP116","VEP117","VEP121","VEP122","VEP123","VEP124","VEP125","VEP126","VEP127","VEP118","VEP119","VEP128","VEP129","DEP131","DEP132","DEP133","DEP134","DEP135","DEP136","DEP137","NEP141","NEP142","NEP143","NEP144","NEP145","NEP146","NEP147","DEP138","DEP139","NEP148","NEP149"
22876044,2002,110100100205,Rondonia,RO,PORTO VELHO,Particular,Urbana,Ativo,FORMAÇÃO DE DOCENTES DA ED. INFANTIL E ENS. FUND.,D,D17,D1701,,,,,,,,,,,8,9,22,3,,,2,40,,,,4,14,5,4,,,,5,12,2,1,,27,3,17
22874008,2002,110200300023,Rondonia,RO,ARIQUEMES,Particular,Urbana,Ativo,SAUDE,D,D14,D1401,,,,,,,,,,,27,18,16,2,,,4,59,,,,,,,,,,,,,,,,,,
22879424,2002,110200300023,Rondonia,RO,ARIQUEMES,Federal,Rural,Ativo,TECNICO EM AGROINDRUSTRIA,B,B03,B0301,,13,21,6,4,,,,,,,,,,27,17,,,,,,,,,,,,,,,,,,,,
22879424,2002,110200300023,Rondonia,RO,ARIQUEMES,Federal,Rural,Ativo,TECNICO EM AGROPECUÁRIA,A,A01,A0101,,23,23,25,4,,,,,,,,,,68,7,,,,,,,,,,,,,,,,,,,,
22925594,2002,110200700189,Rondonia,RO,PIMENTA BUENO,Estadual,Urbana,Ativo,PROJETO FENIX COM HABILITAÇÃO NO MAGISTÉRIO,D,D17,D1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,9,39,,,5,67
22927120,2002,110200800064,Rondonia,RO,COLORADO DO OESTE,Federal,Rural,Ativo,TECNICO  AGRICOLA  COM  HABILITACAO  AGRICULTURA,A,A01,A0101,,8,2,4,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,,,,,
22927120,2002,110200800064,Rondonia,RO,COLORADO DO OESTE,Federal,Rural,Ativo,TECNICO  AGRICOLA  COM  HABILITACAO  AGROINDUSTRIA,A,A01,A0101,,15,5,7,,,,,,,,,,,14,13,,,,6,11,3,1,2,,,,,,,,,10,13,,
22927120,2002,110200800064,Rondonia,RO,COLORADO DO OESTE,Federal,Rural,Ativo,TECNICO  AGRICOLA  COM  HABILITACAO  AGROPECUARIA,A,A01,A0101,,,,,,,,,,,,,,,,,,,,21,15,8,,,,,,,,,,,28,16,,
22927120,2002,110200800064,Rondonia,RO,COLORADO DO OESTE,Federal,Rural,Ativo,TECNICO  AGRICOLA  COM  HABILITACAO  ZOOTECNICA,A,A01,A0101,3,79,21,9,4,2,,,,,,,,,93,25,,,,9,4,9,1,,,,,,,,,,14,9,,
22927121,2002,110200700304,Rondonia,RO,VILHENA,Particular,Urbana,Ativo,TECNICO EM ENFERMAGEM,D,D14,D1401,,,,,,,,,,,12,9,24,10,,,10,45,,,,,,,,,,,,,,,,,,
22927121,2002,110200700304,Rondonia,RO,VILHENA,Particular,Urbana,Ativo,TECNICO NORMAL EM NIVEL MEDIO,D,D17,D1701,,,,,,,,,,1,3,2,5,,,,3,8,,,,,,,,,,,,,,,,,,
22935676,2002,110200600288,Rondonia,RO,ROLIM DE MOURA,Particular,Urbana,Ativo,AUXILIAR DE ENFERMAGEM,D,D14,D1401,,,,4,10,13,9,,,5,42,29,48,20,1,35,44,100,,,,,,,,,,1,10,7,8,1,,,6,21
22935677,2002,110200400122,Rondonia,RO,JI-PARANA,Particular,Urbana,Ativo,TECNICO  EM  ENFERMAGEM  AUXILIAR  EM  ENFERMAGAM,D,D14,D1401,,,,4,4,15,11,,,,6,9,15,9,2,32,4,35,,,1,7,5,5,1,,,,7,,4,,1,18,,11
22935678,2002,110100100205,Rondonia,RO,PORTO VELHO,Particular,Urbana,Ativo,AUXILIAR  TECNICO  E  TECNICO  DE  ENFERMAGEM,D,D14,D1401,,2,4,10,15,25,,,,,,,,,3,53,,,,,,15,13,10,1,,,,,,,,2,37,,
22937189,2002,110100100205,Rondonia,RO,PORTO VELHO,Particular,Urbana,Ativo,TECNICO EM INFORMATICA,D,D12,D1201,77,,,,,,,47,,,,,,,59,18,45,2,,,,,,,,34,,,,,,,,,19,15
22937189,2002,110100100205,Rondonia,RO,PORTO VELHO,Particular,Urbana,Ativo,TECNICO EM SEGURANÇA DO TRABALHO,B,B04,B0401,,,,,,,,45,,,,,,,,,36,9,,,,,,,,,,,,,,,,,,
22935679,2002,110200600049,Rondonia,RO,CACOAL,Particular,Urbana,Ativo,TÉCNICO DE EMFERMAGEM,D,D14,D1401,,,,,,,,,1,6,10,9,6,,,,4,28,,,,,,,,,,,,,,,,,,
22906767,2002,130300702603,Amazonas,AM,MANAUS,Particular,Urbana,Ativo,TECNICO EM TELECOMUNICACOES,D,D11,D1101,,19,17,30,16,19,3,,6,6,57,55,26,5,80,24,130,25,,,,,,,,,,,,,,,,,,
